book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,genres
28,7624,7624,2766512,458,0140283331,9780140283330,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,"Classics;Fiction;Young Adult;Academic,School;Literature;Science Fiction,Dystopia;Academic,Read For School;Novels;Young Adult,High School;Adventure"
29,18135,18135,3349450,1937,0743477111,9780743477120,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,"Classics;Plays;Fiction;Romance;Academic,School;Drama;Academic,Read For School;Literature;Young Adult,High School;Poetry"
32,890,890,40283,373,0142000671,9780142000670,John Steinbeck,1937.0,Of Mice and Men ,Of Mice and Men,eng,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,"Classics;Fiction;Academic,School;Historical,Historical Fiction;Literature;Academic,Read For School;Novels;Young Adult,High School;Literature,American;Historical"
33,930,929,1558965,220,0739326228,9780739326220,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Fiction;Historical,Historical Fiction;Romance;Historical;Classics;Cultural,Japan;Adult;Novels;Cultural,Asia;Adult Fiction"
36,3636,3636,2543234,192,0385732554,9780385732550,Lois Lowry,1993.0,The Giver,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,"Young Adult;Fiction;Classics;Science Fiction,Dystopia;Science Fiction;Fantasy;Academic,School;Childrens,Middle Grade;Childrens;Academic,Read For School"
40,19501,19501,3352398,185,0143038419,9780143038410,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,"Nonfiction;Autobiography,Memoir;Travel;Biography;Womens Fiction,Chick Lit;Romance;Spirituality;Biography Memoir;Contemporary;Biography,Autobiography"
41,28187,28187,3346751,159,0786838655,9780786838650,Rick Riordan,2005.0,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,46006,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,"Fantasy;Young Adult;Fantasy,Mythology;Fiction;Childrens,Middle Grade;Adventure;Childrens;Mythology,Greek Mythology;Fantasy,Urban Fantasy;Audiobook"
42,1934,1934,3244642,1707,0451529308,9780451529300,Louisa May Alcott,1868.0,Little Women,"Little Women (Little Women, #1)",en-US,4.04,1257121,1314293,17090,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Classics;Fiction;Historical,Historical Fiction;Young Adult;Romance;Historical;Literature;Childrens;Classics,Classic Literature;Audiobook"
43,10210,10210,2977639,2568,0142437204,9780142437210,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,Jane Eyre,eng,4.1,1198557,1286135,31212,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,"Classics;Fiction;Romance;Historical,Historical Fiction;Gothic;Literature;Historical;Academic,School;Literature,19th Century;Novels"
44,15931,15931,1498135,190,0553816713,9780553816720,Nicholas Sparks,1996.0,The Notebook,"The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,"Romance;Fiction;Womens Fiction,Chick Lit;Contemporary;Adult;Adult Fiction;Classics;Romance,Contemporary Romance;Love;Drama"
47,19063,19063,878368,251,0375831002,9780375831000,Markus Zusak,2005.0,The Book Thief,The Book Thief,eng,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,"Historical,Historical Fiction;Fiction;Young Adult;Historical;Classics;War;World War II,Holocaust;War,World War II;Writing,Books About Books;Audiobook"
57,37435,37435,3275013,125,0142001740,9780142001740,Sue Monk Kidd,2001.0,The Secret Life of Bees,The Secret Life of Bees,en-US,4.01,916189,937393,26522,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg,"Fiction;Historical,Historical Fiction;Young Adult;Classics;Historical;Contemporary;Adult Fiction;Young Adult,Coming Of Age;Adult;Novels"
58,2956,2956,1835605,2277,0142437174,9780142437180,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,953758,1001491,12448,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg,"Classics;Fiction;Historical,Historical Fiction;Literature;Young Adult;Adventure;Academic,School;Novels;Young Adult,High School;Academic,Read For School"
64,10917,10917,1639903,125,0743454537,9780743454540,Jodi Picoult,2004.0,My Sister's Keeper,My Sister's Keeper,eng,4.06,863879,887880,30719,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg,"Fiction;Contemporary;Womens Fiction,Chick Lit;Young Adult;Drama;Adult;Adult Fiction;Realistic Fiction;Family;Novels"
65,4981,4981,1683562,241,0385333846,9780385333850,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng,4.06,846488,891762,19646,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg,"Classics;Fiction;Science Fiction;War;Historical,Historical Fiction;Literature;Novels;Science Fiction,Time Travel;Fantasy;Literature,American"
66,18405,18405,3358283,409,0446675539,9780446675540,Margaret Mitchell,1936.0,Gone with the Wind,Gone with the Wind,eng,4.28,873981,897303,16050,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg,"Classics;Historical,Historical Fiction;Fiction;Romance;Historical;War;Literature;Military History,Civil War;Romance,Historical Romance;Novels"
72,11588,11588,849585,289,0450040186,9780450040180,Stephen King,1977.0,The Shining,The Shining (The Shining #1),eng,4.17,791850,830881,14936,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg,"Horror;Fiction;Thriller;Classics;Fantasy;Fantasy,Paranormal;Mystery;Adult;Suspense;Audiobook"
77,38709,38709,1679789,138,0439244196,9780439244190,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg,"Young Adult;Fiction;Childrens;Childrens,Middle Grade;Classics;Realistic Fiction;Academic,School;Mystery;Adventure;Contemporary"
78,5139,5139,38765,129,0307275558,9780307275550,Lauren Weisberger,2003.0,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,8024,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Womens Fiction,Chick Lit;Fiction;Contemporary;Romance;Adult;Humor;Adult Fiction;Couture,Fashion;Novels;Realistic Fiction"
79,1381,1381,3356006,1703,0143039954,9780143039950,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,The Odyssey,eng,3.73,670326,710757,8101,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,"Classics;Fiction;Poetry;Fantasy,Mythology;Fantasy;Academic,School;Literature;Adventure;Academic,Read For School;Historical,Historical Fiction"
81,7445,7445,2944133,92,074324754X,9780743247540,Jeannette Walls,2005.0,The Glass Castle,The Glass Castle,eng,4.24,621099,637866,40777,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg,"Nonfiction;Autobiography,Memoir;Biography;Biography Memoir;Biography,Autobiography;Book Club;Adult;Audiobook;Academic,School;Contemporary"
82,1845,1845,3284484,108,0385486804,9780385486800,Jon Krakauer,1996.0,Into the Wild,Into the Wild,eng,3.94,647684,665377,17299,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg,"Nonfiction;Biography;Travel;Adventure;Classics;Autobiography,Memoir;Environment,Nature;Academic,School;Biography Memoir;Adventure,Survival"
84,7677,6424171,3376836,176,030734813X,9780307348140,Michael Crichton,1990.0,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,8143,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Science Fiction;Fiction;Thriller;Adventure;Fantasy;Horror;Classics;Science Fiction Fantasy;Animals,Dinosaurs;Adult"
89,21787,21787,992628,129,0345418263,9780345418260,William Goldman,1973.0,The Princess Bride,The Princess Bride ,en-US,4.25,628637,658042,15630,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg,"Fantasy;Classics;Fiction;Romance;Humor;Young Adult;Adventure;Humor,Comedy;Science Fiction Fantasy;Fantasy,Fairy Tales"
93,2998,2998,3186437,1350,0517189607,9780517189600,Frances Hodgson Burnett,1911.0,The Secret Garden,The Secret Garden,eng,4.12,639357,692249,13054,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg,"Classics;Fiction;Childrens;Young Adult;Historical,Historical Fiction;Childrens,Middle Grade;Fantasy;Historical;Literature;Audiobook"
95,5297,5297,1858012,2303,0375751513,9780375751520,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,The Picture of Dorian Gray,eng,4.06,590014,674551,19647,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg,"Classics;Fiction;Horror;Fantasy;Gothic;Literature;Novels;Literature,19th Century;LGBT;Classics,Classic Literature"
97,17245,17245,3165724,2207,0393970124,9780393970130,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,Dracula,eng,3.98,618973,689739,17263,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg,"Classics;Horror;Fiction;Fantasy;Paranormal,Vampires;Gothic;Fantasy,Paranormal;Literature;Audiobook;Literature,19th Century"
103,7126,7126,391568,1310,0140449264,9780140449270,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng,4.21,555822,601220,15925,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg,"Classics;Fiction;Historical,Historical Fiction;Adventure;Literature;Historical;Cultural,France;Novels;Classics,Classic Literature;Romance"
104,6288,6288,3355573,181,0307265439,9780307265430,Cormac McCarthy,2006.0,The Road,The Road,eng,3.95,504793,555787,38980,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg,"Fiction;Science Fiction;Science Fiction,Dystopia;Apocalyptic,Post Apocalyptic;Classics;Horror;Literature;Novels;Science Fiction,Apocalyptic;Contemporary"
107,3473,3473,3143497,131,0446693804,9780446693810,Nicholas Sparks,1999.0,A Walk to Remember,A Walk to Remember,en-US,4.15,546948,559581,11071,10640,24094,94327,169650,260870,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg,"Romance;Fiction;Contemporary;Womens Fiction,Chick Lit;Young Adult;Adult;Romance,Contemporary Romance;Drama;Adult Fiction;Love"
108,9416,9416,3237433,144,0440241413,9780440241420,Sophie Kinsella,2000.0,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,558004,11170,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg,"Womens Fiction,Chick Lit;Fiction;Romance;Contemporary;Humor;Adult;Adult Fiction;Romance,Contemporary Romance;Humor,Comedy;Young Adult"
110,10572,10572,3272005,202,0553381695,9780553381700,George R.R. Martin,1998.0,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,20325,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg,"Fantasy;Fiction;Fantasy,Epic Fantasy;Science Fiction Fantasy;Fantasy,High Fantasy;Adult;Adventure;Audiobook;Fantasy,Dragons;Epic"
111,10441,10441,2868431,98,0143037145,9780143037150,Kim Edwards,2005.0,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng,3.64,501430,510582,18027,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Fiction;Contemporary;Historical,Historical Fiction;Adult Fiction;Adult;Book Club;Drama;Womens Fiction,Chick Lit;Novels;Family"
115,2187,2187,1352495,125,0312422156,9780312422160,Jeffrey Eugenides,2002.0,Middlesex,Middlesex,en-US,3.98,488243,507998,20880,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg,"Fiction;Historical,Historical Fiction;Contemporary;LGBT;Literary Fiction;Classics;Novels;LGBT,Queer;Literature;Adult"
116,24583,24583,41326609,2448,0143039563,9780143039560,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg,"Classics;Fiction;Adventure;Historical,Historical Fiction;Young Adult;Literature;Childrens;Academic,School;Novels;Literature,American"
118,7763,7763,1955658,126,0143038095,9780143038090,Amy Tan,1989.0,The Joy Luck Club,The Joy Luck Club,eng,3.9,515090,525243,6708,14802,30197,116748,195930,167566,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg,"Fiction;Historical,Historical Fiction;Classics;Cultural,China;Contemporary;Adult Fiction;Adult;Historical;Cultural,Asia;Literature"
123,5358,5358,38270,11,0582418275,9780582418270,John Grisham,1991.0,The Firm,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,488355,3139,5075,20119,111543,190966,160652,https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg,"Fiction;Thriller;Mystery;Mystery,Crime;Suspense;Thriller,Mystery Thriller;Thriller,Legal Thriller;Novels;Law;Adult Fiction"
125,1420,1420,1885548,1929,0521618746,9780521618750,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4.0,515820,576894,8889,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg,"Classics;Plays;Fiction;Drama;Academic,School;Literature;Plays,Theatre;Academic,Read For School;Poetry;Young Adult,High School"
127,2612,2612,2124255,100,0316346624,9780316346630,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,499066,10895,15111,25871,106453,189120,162511,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg,"Nonfiction;Business;Psychology;Sociology;Self Help;Science;Economics;Audiobook;Leadership;Self Help,Personal Development"
133,8127,8127,3464264,1314,0451528824,9780451528830,L.M. Montgomery,1908.0,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041,8864,19531,80256,158725,265976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Classics;Fiction;Young Adult;Historical,Historical Fiction;Childrens;Childrens,Middle Grade;Audiobook;Historical;Cultural,Canada;Young Adult,Coming Of Age"
137,10964,10964,2489796,189,0440242940,9780440242950,Diana Gabaldon,1991.0,Outlander,"Outlander (Outlander, #1)",eng,4.2,515547,578842,36707,20998,27673,73126,147085,309960,https://images.gr-assets.com/books/1402600310m/10964.jpg,https://images.gr-assets.com/books/1402600310s/10964.jpg,"Historical,Historical Fiction;Romance;Fantasy;Fiction;Science Fiction,Time Travel;Historical;Romance,Historical Romance;Adult;Audiobook;Cultural,Scotland"
138,12296,12296,4925227,1579,0142437263,9780142437260,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,The Scarlet Letter,eng,3.37,509883,559246,11428,34813,80444,182701,165079,96209,https://images.gr-assets.com/books/1404810944m/12296.jpg,https://images.gr-assets.com/books/1404810944s/12296.jpg,"Classics;Fiction;Historical,Historical Fiction;Academic,School;Literature;Young Adult,High School;Academic,Read For School;Historical;Classics,Classic Literature;Novels"
150,4989,4989,1041558,80,0312353766,9780312353770,Anita Diamant,1997.0,The Red Tent,The Red Tent,en-US,4.16,424981,449217,17234,9470,19616,67878,146178,206075,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Historical,Historical Fiction;Fiction;Historical;Religion;Book Club;Feminism;Adult;Adult Fiction;Womens;Novels"
151,28186,28186,43554,121,0786856866,9780786856860,Rick Riordan,2006.0,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097,2967,13884,91127,188988,253546,https://images.gr-assets.com/books/1400602661m/28186.jpg,https://images.gr-assets.com/books/1400602661s/28186.jpg,"Fantasy;Young Adult;Fantasy,Mythology;Fiction;Childrens,Middle Grade;Adventure;Mythology,Greek Mythology;Childrens;Fantasy,Urban Fantasy;Audiobook"
152,5526,5526,3222389,111,0446528056,9780446528050,Nicholas Sparks,2006.0,Dear John,Dear John,en-US,4.01,441062,454781,10626,9683,25220,94711,145202,179965,https://images.gr-assets.com/books/1397749854m/5526.jpg,https://images.gr-assets.com/books/1397749854s/5526.jpg,"Romance;Fiction;Womens Fiction,Chick Lit;Contemporary;Adult;Adult Fiction;Young Adult;Romance,Contemporary Romance;Love;Drama"
154,8852,8852,1896522,1732,0743477103,9780743477110,William Shakespeare,1606.0,The Tragedy of Macbeth,Macbeth,eng,3.88,496018,524826,7609,10551,35408,127354,183871,167642,https://images.gr-assets.com/books/1459795224m/8852.jpg,https://images.gr-assets.com/books/1459795224s/8852.jpg,"Classics;Plays;Fiction;Academic,School;Drama;Academic,Read For School;Literature;Plays,Theatre;Poetry;Young Adult,High School"
155,15241,15241,2963845,453,0618346260,9780618346260,J.R.R. Tolkien,1954.0,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,532209,6980,3013,10264,55433,156232,307267,https://images.gr-assets.com/books/1298415523m/15241.jpg,https://images.gr-assets.com/books/1298415523s/15241.jpg,"Fantasy;Fiction;Classics;Adventure;Fantasy,High Fantasy;Science Fiction Fantasy;Fantasy,Epic Fantasy;Audiobook;Novels;Literature"
156,42156,42156,1789440,65,031232118X,9780312321180,Emily Giffin,2004.0,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,435189,11567,16019,29297,104322,148507,137044,https://images.gr-assets.com/books/1305063535m/42156.jpg,https://images.gr-assets.com/books/1305063535s/42156.jpg,"Womens Fiction,Chick Lit;Romance;Fiction;Contemporary;Adult;Romance,Contemporary Romance;Adult Fiction;Audiobook;Womens Fiction;Novels"
158,6310,6310,2765786,338,0142403881,9780142403880,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,8473,6236,17193,94240,178216,198862,https://images.gr-assets.com/books/1309211401m/6310.jpg,https://images.gr-assets.com/books/1309211401s/6310.jpg,"Childrens;Fantasy;Fiction;Classics;Young Adult;Childrens,Middle Grade;Humor;Adventure;Childrens,Juvenile;Novels"
